Combination,GK_%,Ctrl_%,Outfield_%,GK_Absolute,Superiority_Index
Mercury-Uranus + Mercury-Pluto + House 1-10 Connections + House 5-10 Connections,16.7,0.0,0.0,5,166.67
Mercury-Uranus + Mercury-Pluto + Mars 2-5-10 House Relation + House 1-10 Connections + House 5-10 Connections,16.7,0.0,0.0,5,166.67
Mercury-Uranus + Mercury-Pluto + Specific Signs Asc/Asc Ruler + House 1-10 Connections + House 5-10 Connections,16.7,0.0,0.0,5,166.67
Mercury-Uranus + Mercury-Pluto + Mars 2-5-10 House Relation + Specific Signs Asc/Asc Ruler + House 1-10 Connections + House 5-10 Connections,16.7,0.0,0.0,5,166.67
Mercury-Uranus + Mars 2-5-10 House Relation + Specific Signs Asc/Asc Ruler + House 1-10 Connections + House 2-5 Connections + House 5-10 Connections,16.7,0.0,0.0,5,166.67
Mars-Uranus Dispositorship/Reception + Bellatrix Star,13.3,0.0,0.0,4,133.33
Mercury-Uranus + Mercury-Saturn Dispositorship/Reception + Mars-Uranus Dispositorship/Reception,13.3,0.0,0.0,4,133.33
Mars-Uranus Dispositorship/Reception + Specific Signs Asc/Asc Ruler + Bellatrix Star,13.3,0.0,0.0,4,133.33
Mercury-Uranus + Mercury-Saturn Dispositorship/Reception + Mars-Uranus Dispositorship/Reception + Mars 2-5-10 House Relation,13.3,0.0,0.0,4,133.33
Mercury-Uranus + Mercury-Saturn Dispositorship/Reception + Mars-Uranus Dispositorship/Reception + Specific Signs Asc/Asc Ruler,13.3,0.0,0.0,4,133.33
Mercury-Uranus + Mercury-Saturn Dispositorship/Reception + Mars-Uranus Dispositorship/Reception + House 5-10 Connections,13.3,0.0,0.0,4,133.33
Mercury-Mars + Mars 2-5-10 House Relation + Specific Signs Asc/Asc Ruler + House 1-10 Connections + House 5-10 Connections,13.3,0.0,0.0,4,133.33
Mercury-Uranus + Mercury-Saturn Dispositorship/Reception + Mars-Uranus Dispositorship/Reception + Mars 2-5-10 House Relation + Specific Signs Asc/Asc Ruler,13.3,0.0,0.0,4,133.33
Mercury-Uranus + Mercury-Saturn Dispositorship/Reception + Mars-Uranus Dispositorship/Reception + Mars 2-5-10 House Relation + House 5-10 Connections,13.3,0.0,0.0,4,133.33
Mercury-Uranus + Mercury-Saturn Dispositorship/Reception + Mars-Uranus Dispositorship/Reception + Specific Signs Asc/Asc Ruler + House 5-10 Connections,13.3,0.0,0.0,4,133.33
Mercury-Uranus + Mercury-Pluto + House 1-10 Connections + House 2-5 Connections + House 5-10 Connections,13.3,0.0,0.0,4,133.33
Mercury-Uranus + Mercury-Saturn Dispositorship/Reception + Mars-Uranus Dispositorship/Reception + Mars 2-5-10 House Relation + Specific Signs Asc/Asc Ruler + House 5-10 Connections,13.3,0.0,0.0,4,133.33
Mercury-Uranus + Mercury-Pluto + Mars 2-5-10 House Relation + House 1-10 Connections + House 2-5 Connections + House 5-10 Connections,13.3,0.0,0.0,4,133.33
Mercury-Uranus + Mercury-Pluto + Specific Signs Asc/Asc Ruler + House 1-10 Connections + House 2-5 Connections + House 5-10 Connections,13.3,0.0,0.0,4,133.33
Mercury-Uranus + Mars-Uranus Dispositorship/Reception + House 1-10 Connections,10.0,0.0,0.0,3,100.0
Mercury-Saturn Dispositorship/Reception + Mercury-Pluto Dispositorship/Reception + Mars-Uranus Dispositorship/Reception,10.0,0.0,0.0,3,100.0
Mars-Uranus + Mars-Moon Dispositorship/Reception + Mars 2-5-10 House Relation,10.0,0.0,0.0,3,100.0
Mars-Uranus Dispositorship/Reception + Mars 2-5-10 House Relation + Bellatrix Star,10.0,0.0,0.0,3,100.0
Mars-Uranus Dispositorship/Reception + House 1-10 Connections + Bellatrix Star,10.0,0.0,0.0,3,100.0
Mars dignity +/- + Saturn 1st House Relation + Royal Star Name,10.0,0.0,0.0,3,100.0
House 1-10 Connections + House 5-10 Connections + Bellatrix Star,10.0,0.0,0.0,3,100.0
Mercury-Mars + Mars-Uranus Dispositorship/Reception + Mars 2-5-10 House Relation + House 1-10 Connections,10.0,0.0,0.0,3,100.0
Mercury-Mars + Mars-Moon Dispositorship/Reception + House 1-10 Connections + House 5-10 Connections,10.0,0.0,0.0,3,100.0
Mercury-Mars + Mars dignity +/- + House 1-10 Connections + House 5-10 Connections,10.0,0.0,0.0,3,100.0
Mercury-Mars Dispositorship/Reception + Mercury-Uranus + Mercury-Pluto + House 1-10 Connections,10.0,0.0,0.0,3,100.0
